,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
5761,bHPN,16,20,0.56,36,0.5,10,0.8,5,0.5,12,0.54,13,0.6699999999999999,12,0.5769230769230769,52
5787,bJMB,13,14,0.52,27,0.5,4,0.5,6,0.6,5,0.5,8,0.6699999999999999,6,0.5517241379310345,29
5794,bJNM,14,16,0.53,30,0.75,4,0.5700000000000001,7,0.6699999999999999,9,0.6699999999999999,6,0.5700000000000001,7,0.6363636363636364,33
5816,bJnn,10,11,0.52,21,1.0,2,0.6699999999999999,3,0.6,5,0.5,2,1.0,4,0.75,16
5832,bLPM,11,18,0.62,29,0.85,13,0.73,11,0.71,14,0.55,11,0.5,4,0.6981132075471698,53
5840,bLbM,12,15,0.56,27,0.5,10,0.8,5,0.8,5,0.6699999999999999,9,0.5,10,0.6153846153846154,39
5844,bLmM,12,19,0.61,31,0.83,6,0.8,5,0.64,11,0.6,5,0.71,7,0.7058823529411765,34
5853,bLns,12,18,0.6,30,0.78,9,0.5700000000000001,7,0.5,6,0.5800000000000001,12,0.62,8,0.6190476190476191,42
5871,bMMP,51,53,0.51,104,0.56,32,0.65,26,0.53,38,0.51,37,0.52,42,0.5485714285714286,175
5873,bMMb,45,49,0.52,94,0.61,18,0.5,10,0.5,14,0.55,42,0.5800000000000001,24,0.5555555555555556,108
5882,bMNh,15,20,0.5700000000000001,35,0.5700000000000001,7,0.5,14,0.6,10,0.62,13,0.5,12,0.5535714285714286,56
5883,bMNs,43,51,0.54,94,0.62,13,0.5900000000000001,17,0.53,19,0.62,16,0.5,14,0.569620253164557,79
5919,bMnB,50,63,0.56,113,0.5,20,0.52,27,0.73,15,0.56,18,0.52,29,0.5504587155963303,109
5947,bNLS,11,15,0.5800000000000001,26,0.5,6,0.71,7,0.5,8,0.5800000000000001,12,0.5,2,0.5714285714285714,35
5962,bNPM,66,76,0.54,142,0.5,34,0.5,34,0.54,48,0.56,55,0.6699999999999999,55,0.5663716814159292,226
6012,bPBM,39,59,0.6,98,0.6799999999999999,25,0.5,24,0.56,32,0.5700000000000001,30,0.5800000000000001,26,0.5766423357664233,137
6039,bPNM,59,60,0.5,119,0.73,26,0.6,25,0.52,31,0.55,44,0.65,34,0.6,160
6046,bPPK,9,12,0.5700000000000001,21,1.0,4,0.5,6,0.5700000000000001,7,0.6699999999999999,3,0.5700000000000001,7,0.6296296296296297,27
6066,bPlM,23,29,0.56,52,0.5,10,0.6,10,0.56,16,0.5900000000000001,27,0.63,19,0.5853658536585366,82
6074,bPmH,36,53,0.6,89,0.5800000000000001,24,0.52,25,0.62,21,0.5700000000000001,14,0.5,30,0.5526315789473685,114
